text,label
going nothing greatbye,0
wont wats wit guy,0
ok ksry knw 2 sivatats askd,0
stand away doesnt heart ache without dont wonder dont crave,0
finished work yet something,0
hhahhaahahah rofl wtf nig wa leonardo room something,0
wot u 2 j,0
hiya sorry didnt hav signal havent seen heard neither ha unusual ill put case get sort hug snogs,0
r outside already,0
free nokia motorola upto 12mths 12price linerental 500 free xnet mins100txtmth free btooth call mobileupd8 08001950382 call 2optoutd3wv,1
schedule next week town weekend,0
goodmorning today late 1hr,0
dizzamn aight ill ask suitemates get back,0
must sit around wait summer day celebrate magical sight world dressed white oooooh let snow,0
pls call da happen,0
call 09094100151 use ur min call cast 10pmin mob vary service provided aom gbp5month aom box61m60 1er u stop age 18,1
u awake snow,0
nope since ayo travelled ha forgotten guy,0
friendship game play word say doesnt start march end may tomorrow yesterday today e,0
lol right diet everyday cheat anyway im meant fatty,0
haha really oh deduct lesson tmr,0
hows going got exciting karaoke type activity planned im debating whether play football eve feeling lazy though,0
want new video phone 750 anytime network min half price line rental free text 3 month reply call 08000930705 free delivery,1
great wa getting worried know wonderful caring person like best life know u r wonderful god love,0
find way didnt include detail,0
well know mean texting,0
sunny california weather cool,0
ummmmmaah many many happy return day dear sweet heart happy birthday dear,0
dad went oredi,0
short cute good person,0
ì b going esplanade fr home,0
important customer service announcement call freephone 0800 542 0825,1
moji love word rich day,0
outside office take,0
one week leave put know time,0
yeah sure thing mate haunt got stuff sorted im going sound anyway promoting hex way dont know number joke,0
huh cant go 2 ur house empty handed right,0
watching movie already xy want 2 shop im shopping w,0
thought put back box,0
important customer service announcement call freephone 0800 542 0825,1
know ltgt ill around 5,0
want sent ltgt mesages today thats sorry hurt,0
hi baby ive got back work wa wanting see u allday hope didnt piss u phone today u give call xxx,0
neva grumble sad lor hee buy tmr lor aft lunch still meetin 4 lunch tmr neva hear fr lei ìï got lot work ar,0
yessura sun tvlol,0
thought slide enough,0
nice day today love dearly,0
hi email address ha changed,0
life alle moneeppolum oru pole allalo,0
ur cashbalance currently 500 pound maximize ur cashin send go 86688 150pmsg cc 08718720201 hgsuite3422lands roww1j6hl,1
babe u want dont u baby im nasty thing 4 filthyguys fancy rude time sexy bitch go slo n hard txt xxx slo4msgs,1
got another job one hospital data analysis something start monday sure thesis got finished,0
wat time u wan 2 meet later,0
drug able eat,0
per request maangalyam alaipayuthe ha set callertune caller press 9 copy friend callertune,0
tell dear happen talking like alian,0
u,0
gibbs unsoldmike hussey,0
thought praps meant another one goodo ill look tomorrow,0
want explicit sex 30 sec ring 02073162414 cost 20pmin gsex pobox 2667 wc1n 3xx,1
let pool money together buy bunch lotto ticket win get ltgt u get ltgt deal,0
wheres boytoy miss happened,0
free ringtone text first 87131 poly text get 87131 true tone help 0845 2814032 16 1st free tone 3xå£150pw eå£nd txt stop,1
dont know oh hopefully month,0
lol enjoy role playing much,0
tot u outside co darren say u come shopping course nice wat jus went sim lim look mp3 player,0
hard live 121 chat 60pmin choose girl connect live call 09094646899 cheap chat uk biggest live service vu bcm1896wc1n3xx,1
wa texted finished long time ago showered erything,0
fact youre cleaning show know im upset priority constantly want,0
nt joking seriously told,0
hey u still gym,0
ill reach ard 20 min ok,0
exam february 4 wish great day,0
good good billy mate gone jogging enjoy concert,0
sorry missed babe wa late slept hope enjoy driving lesson boytoy miss teasing kiss,0
weekend fine excuse much decorating,0
private 2003 account statement show 800 unredeemed sim point call 08718738001 identifier code 49557 expires 261104,1
im really sorry lit hair fire,0
course guess god got hold right,0
thanks looking really appreciate,0
think far find check google map place dorm,0
im good movie ok leave hourish,0
yo howz u girl never rang india l,0
opposite side dropped,0
anything specific regard jaklin idk fuck,0
im going 4 dinner soon,0
thanks 4 continued support question week enter u in2 draw 4 å£100 cash name new u president txt 80082,1
dear got train seat mine lower seat,0
449071512431 urgent 2nd attempt contact uu å£1250 call 09071512433 b4 050703 tcsbcm4235wc1n3xx callcost 150ppm mobilesvary maxå£7 50,1
babe fucking love know fuck wa good hear voice need crave cant get enough adore ahmad kiss,0
howz painit come todaydo said ystrdayice medicine,0
ok come ur home half hour,0
ambrithmaduraimet u arun dha marrgeremembr,0
1000 cash 2000 prize claim call09050000327 tc rstm sw7 3ss 150ppm,1
good afternoon boytoy go walking day get police abstract still wake miss babe,0
u horrible gal u knew dat wa going wif yest n u still come n ask,0
sim subscriber selected receive bonus get delivered door txt word ok 88600 claim 150pmsg exp 30apr,1
askd u question hour answer,0
especially since talk boston personal statement lol woulda changed realized said nyc say boston,0
hows scotland hope showing jjc tendency take care live dream,0
wamma get laidwant real doggin location sent direct mobile join uk largest dogging network txt dog 69696 nownyt ec2a 3lp å£150msg,1
nice line said broken heart plz dont cum 1 time infront wise trust u good 9t,0
come room point iron plan weekend,0
fyi im gon na call sporadically starting like ltgt bc doin shit,0
work ah den 6 plus lor u workin oso rite den go orchard lor place go liao,0
aathiwhere dear,0
mark taking forever pick prescription pain coming back,0
let make saturday monday per convenience,0
u got person story,0
haha dont angry take practice real thing,0
plural noun research,0
walked hour 2 c u doesnåõt show care wont u believe im serious,0
u talking,0
sister law hope great month saying hey abiola,0
thanks ringtone order reference number x29 mobile charged 450 tone arrive please call customer service 09065989180,1
hi 07734396839 ibh customer loyalty offer new nokia6600 mobile å£10 txtauctiontxt wordstart no81151 get now4t,1
yeah get unlimited,0
k give sec breaking ltgt cstore,0
im good thinking,0
yes princess want please every night wish command,0
almost see u sec,0
contract mobile 11 mnths latest motorola nokia etc free double min text orange tariff text yes callback remove record,1
pls wont belive godnot jesus,0
valued customer pleased advise following recent review mob awarded å£1500 bonus prize call 09066364589,1
think move ltgt week,0
want mapquest something look usf dogwood drive,0
sweet may may go 4u meet carlos gauge patty interest,0
late said website didnt dont slipper,0
u missed u havent 2 much bit bored holiday want 2 go bak 2 college sad isnt itxx,0
anything lor u decide,0
taking italian food pretty dress panty,0
si si think ill go make oreo truffle,0
alright babe,0
dont worry easy ingredient,0
saw messageit k da,0
get home,0
mm food da,0
living simple loving also simple laughing simple winning tooo simple simple difficult gud nte,0
wa u efficient gee thanx,0
really gooddhanush rock,0
hi dear call urgnt dont know whats problem dont want work problem least tell wating reply,0
told going got drunk,0
hate call didnt accept even single call mine even messaged,0
u ned convince tht possible witot hurting feeling main,0
amazing quote sometimes life difficult decide whats wrong lie brings smile truth brings tear,0
like dis sweater fr mango size already irritating,0
ron say fri leh n said ding tai feng cant make reservation said wait lor,0
u noe 2 send file 2 computer,0
sweet well princess please tell like dislike bed,0
watching telugu moviewat abt u,0
haha awesome minute,0
tiime dont let hug dont break tear,0
